id,type,name,country
9c6e1a65-9239-44d6-80cc-c3b027a92372,Professional corporation,Body Fate,Japan
32ba86c3-dc64-4e6d-b79b-372a0d52c26e,Incorporated,Blyth  Inc.,Central African Republic
e1a6ffb8-46fa-488a-ac66-2d5db12a7f0f,Limited Liability Partnership,Naturohair,American Samoa
a2a70edc-7895-461c-94c8-4d8d0cedff47,Limited Liability Company,Strongbod,South Sudan
ffc343f8-0938-43c4-aa9e-98cd052f9355,Limited Liability Partnership,Matrix Architectural Service,Malaysia
45012d3a-9f20-4974-98e0-527b8c6195ac,Professional corporation,Shirokiya,Equatorial Guinea
e78f0f4d-cd7a-492b-9eba-f0ba400d8f9e,Professional Limited Liability Company,Alaska Air Group,Myanmar
d9133cc4-58e4-49fd-84d3-06901dc1578b,Corporation,Bain & Company,Faroe Islands
5e55d8a7-f6fb-4eee-a714-3cddadec7111,Limited Liability Partnership,Cut Rite Lawn Care,Zimbabwe
2d433475-26ff-4614-ba40-c3c0a678118d,Limited Liability Limited Partnership,Arbitron,Bahrain
a8ce13df-3bf8-46da-8d3a-883bb04fd31b,Professional corporation,Cartoon Network Studios,Andorra
e0624c19-8f6a-4239-a2ad-858f61a110b4,Incorporated,Datacorp,Guyana
d6c84dfd-d811-4cf6-b52f-992ba9dd6628,Incorporated,Giant Food,Christmas Island
2ca89ce9-a12a-4b81-b6a1-99528ddf5d27,Corporation,Discovery Communications,Sri Lanka
f359841e-19a9-4704-9f84-c831bcb759d8,Professional Limited Liability Company,Helping Hand,Pitcairn Islands
341f4d53-363a-48bb-94bb-2e4ae419d410,Incorporated,Ameriprise Financial,St. Pierre & Miquelon
cef3ac7e-5b9e-43be-88a1-12ff9bc31d8c,Limited Liability Company,Towers Perrin,Cape Verde
dbe630da-02a7-4711-bd15-5cec0d114b57,Limited Liability Partnership,W. R. Grace and Company,Guatemala
4e6da8cf-c709-4ea6-984f-630b2f015bc8,Limited Liability Limited Partnership,Belle Ladi,Czech Republic
ca6648d9-49e9-4fe9-aff4-e37256417425,Professional corporation,Good Times,Iran
917607a4-4c45-48c4-b99d-821701d2dae2,Professional Limited Liability Company,Fit Tonic,Svalbard & Jan Mayen
706d19f4-8dfe-4f9d-a9cc-644c32993f00,Incorporated,The Polka Dot Bear Tavern,United States
d83f900a-7bd4-4a4d-92ff-483ab90577c3,Incorporated,Paramount Pictures,Afghanistan
b752df4f-f9eb-47ce-a372-9cbb9111581c,Limited Liability Limited Partnership,Quickbiz,Belgium
3fa0fb66-9480-48ef-bcd1-2ca7ffaa3555,Limited Liability Partnership,Silicon Graphics,New Zealand
